Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,9c7d8d5d1d2b4670a64c0dce37dde546,Os Números - Quiz,2022-04-05 00:55:50.742068+00:00,2022-04-05 00:55:59.369349+00:00,,0.0,0.0000,exercise
Associação PiPA,Vitória,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,50dcd29a8e5744978d67e480945eb022,,2022-04-05 00:56:00.041484+00:00,2022-04-05 00:57:09.506600+00:00,,38.9,0.0870,video
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 00:56:08.282042+00:00,2022-04-05 00:56:20.885462+00:00,,11.3,0.0000,document
Associação PiPA,Vitória,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,0044721b7aed5472bc2a56e3344898c2,A história da química atômica,2022-04-05 00:57:46.160077+00:00,2022-04-05 00:59:23.258647+00:00,,95.0,0.1820,video
Associação PiPA,Vitória,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,8a6519b99f1451c5a3406439f2a08f1e,"Estados sólido, líquido e gasoso",2022-04-05 00:59:39.123516+00:00,2022-04-05 01:00:37.397578+00:00,,19.4,0.0950,video
Associação PiPA,Nicollepeps,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,3429592d54d84d5e98548643886e1861,Videoaula: Introdução á Física e ao Estudo do Movimento,2022-04-05 01:19:32.573216+00:00,2022-04-05 01:19:42.694408+00:00,,5.0,0.0000,video
Associação PiPA,Nicollepeps,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,3429592d54d84d5e98548643886e1861,Videoaula: Introdução á Física e ao Estudo do Movimento,2022-04-05 01:19:46.436103+00:00,2022-04-05 01:19:49.122657+00:00,,0.2,0.0000,video
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,830e6b0614b244138588913a843bab2b,Introdução às Origens da História,2022-04-05 02:49:11.306081+00:00,2022-04-05 02:49:15.410927+00:00,,0.0,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 02:59:56.854140+00:00,2022-04-05 15:49:09.722401+00:00,,485.1,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 15:49:43.874670+00:00,2022-04-05 15:49:46.408760+00:00,,1.1,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 16:40:45.221508+00:00,2022-04-05 16:44:19.560916+00:00,,35.0,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,9795c892fb884630b20d34de0350dfbd,Introdução à História Contemporânea,2022-04-05 20:31:37.914341+00:00,2022-04-05 20:32:13.000401+00:00,,27.4,0.7180,document
